kind,day,position_id,symbol,side,open_time,close_time,volume,closed_volume,avg_entry,avg_exit,closed_pnl,commission,swap,deal_count,magic_values,comments,tickets
BOT,2026-06-24,19557354,XAUUSD,SELL,2026-06-24 16:01:45,2026-06-24 16:03:21,0.01,0.01,3972.88,3985.24,-12.36,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 3985.10],"17312713,17312759"
BOT,2026-06-24,19557355,XAUUSD,SELL,2026-06-24 16:01:46,2026-06-24 16:03:21,0.01,0.01,3973.89,3985.24,-11.35,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 3985.10],"17312714,17312760"
BOT,2026-06-24,19557356,XAUUSD,SELL,2026-06-24 16:01:46,2026-06-24 16:03:31,0.01,0.01,3974.5,3990.33,-15.83,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 3989.71],"17312715,17312772"
BOT,2026-06-24,19557357,XAUUSD,SELL,2026-06-24 16:01:47,2026-06-24 16:03:31,0.01,0.01,3974.22,3990.33,-16.11,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 3989.71],"17312716,17312773"
BOT,2026-06-24,19557358,XAUUSD,SELL,2026-06-24 16:01:47,2026-06-24 16:03:31,0.01,0.01,3974.82,3990.33,-15.51,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 3989.71],"17312717,17312774"
BOT,2026-06-24,19557612,XAUUSD,SELL,2026-06-24 16:11:18,2026-06-24 16:31:42,0.01,0.01,3971.15,3984.51,-13.36,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 3984.37],"17312981,17313333"
BOT,2026-06-24,19557613,XAUUSD,SELL,2026-06-24 16:11:18,2026-06-24 16:31:42,0.01,0.01,3971.18,3984.51,-13.33,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 3984.37],"17312982,17313334"
BOT,2026-06-24,19557614,XAUUSD,SELL,2026-06-24 16:11:18,2026-06-24 16:31:42,0.01,0.01,3971.19,3984.51,-13.32,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 3984.37],"17312983,17313335"
BOT,2026-06-24,19557615,XAUUSD,SELL,2026-06-24 16:11:19,2026-06-24 16:32:03,0.01,0.01,3970.74,3988.21,-17.47,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 3988.51],"17312984,17313356"
BOT,2026-06-24,19557616,XAUUSD,SELL,2026-06-24 16:11:19,2026-06-24 16:32:03,0.01,0.01,3970.73,3988.21,-17.48,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 3988.51],"17312985,17313357"
BOT,2026-06-24,19557617,XAUUSD,SELL,2026-06-24 16:11:20,2026-06-24 16:32:03,0.01,0.01,3971.16,3988.21,-17.05,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 3988.51],"17312986,17313358"
BOT,2026-06-24,19557618,XAUUSD,SELL,2026-06-24 16:11:20,2026-06-24 16:32:47,0.01,0.01,3971.34,3993.65,-22.31,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 3993.45],"17312987,17313426"
BOT,2026-06-24,19557619,XAUUSD,SELL,2026-06-24 16:11:20,2026-06-24 16:32:47,0.01,0.01,3971.11,3993.65,-22.54,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 3993.45],"17312988,17313427"
