position_id,strategy,symbol,side,first_time,last_time,volume_in,volume_out,avg_entry,avg_exit,pnl,commission,swap,magics,comments
1352558847,GOLD_PRO_TP1,GBPUSDm,BUY,2026-06-09 16:07:59,2026-06-09 18:35:22,0.01,0.01,1.34018,1.33777,-2.41,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 1.33777]
1352558860,GOLD_PRO_TP2,GBPUSDm,BUY,2026-06-09 16:07:59,2026-06-09 18:35:22,0.01,0.01,1.34018,1.33777,-2.41,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 1.33777]
1352558870,GOLD_PRO_TP3,GBPUSDm,BUY,2026-06-09 16:07:59,2026-06-09 18:35:22,0.01,0.01,1.34018,1.33777,-2.41,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 1.33777]
1353919048,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:17:01,2026-06-10 02:45:44,0.01,0.01,4295.31,4213.07,82.24,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4213.07000]
1353919054,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:01,2026-06-10 05:37:49,0.01,0.01,4295.31,4183.631,111.68,0.0,0.0,"0,88001",GOLD_PRO_TP2
1353919058,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:01,2026-06-10 05:37:49,0.01,0.01,4295.31,4183.631,111.68,0.0,0.0,"0,88001",GOLD_PRO_TP3
1353920999,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:17:06,2026-06-10 02:45:43,0.01,0.01,4295.81,4213.57,82.24,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4213.57000]
1353921004,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:06,2026-06-10 05:37:49,0.01,0.01,4295.81,4183.577,112.23,0.0,0.0,"0,88001",GOLD_PRO_TP2
1353921005,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:06,2026-06-10 05:37:49,0.01,0.01,4295.81,4183.577,112.23,0.0,0.0,"0,88001",GOLD_PRO_TP3
1353922119,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:17:16,2026-06-10 02:45:30,0.01,0.01,4295.086,4214.22,80.87,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4214.22000]
1353922121,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:16,2026-06-10 05:37:49,0.01,0.01,4295.01,4183.577,111.43,0.0,0.0,"0,88001",GOLD_PRO_TP2
1353922126,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:16,2026-06-10 05:37:49,0.01,0.01,4295.01,4183.577,111.43,0.0,0.0,"0,88001",GOLD_PRO_TP3
1353922128,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:17:16,2026-06-10 02:45:30,0.01,0.01,4295.01,4214.22,80.79,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4214.22000]
1353922137,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:16,2026-06-10 05:37:49,0.01,0.01,4295.01,4183.577,111.43,0.0,0.0,"0,88001",GOLD_PRO_TP2
1353922142,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:16,2026-06-10 05:37:49,0.01,0.01,4295.01,4183.577,111.43,0.0,0.0,"0,88001",GOLD_PRO_TP3
1353924829,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:44,2026-06-09 19:38:12,0.01,0.01,4293.78,4250.15,43.63,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4250.15000]
1353924832,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:45,2026-06-10 02:17:54,0.01,0.01,4293.78,4230.76,63.02,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4230.76000]
1353925333,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:54,2026-06-09 19:38:12,0.01,0.01,4293.85,4250.22,43.63,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4250.22000]
